Name,p_aff,handicapped_infants,water_project_cost_sharing,adoption_of_the_budget_resolution,physician_fee_freeze,el_salvador_aid,religous_groups_in_school,anti_satellite_test_ban,aid_to_nicaraguan_contras,mx_missile,immigration,synthfuels_corporation_cutback,education_spending,superfund_right_to_sue,crime,duty_free_exports,export_administration_act_south_africa
trainEx1,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
trainEx2,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
trainEx3,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
trainEx4,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
trainEx5,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
trainEx6,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
trainEx7,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
trainEx8,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
trainEx9,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
trainEx10,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
trainEx11,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
trainEx12,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
trainEx13,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
trainEx14,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
trainEx15,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
trainEx16,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
trainEx17,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
trainEx18,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
trainEx19,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
trainEx20,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
trainEx21,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
trainEx22,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
trainEx23,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
trainEx24,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
